default QP_effort = 0.01,,,,,,,,,,,,,,,,
default QP_smooth = 0,,,,,,,,,,,,,,,,
default mocoEffort = 1,,,,,,,,,,,,,,,,
default mocoFinalTime = 0.03,,,,,,,,,,,,,,,,
default gaitMode = modeSym,,,,,,,,,,,,,,,,
endheader,,,,,,,,,,,,,,,,
model,iter,optMode_type,trigger,rise,flat,fall,maxVal,result_name,QP_effort,QP_smooth,cost,mocoEffort,mocoFinalTime,gaitMode,resume_name,Complete
2D_gait_AFO_pc_off_asym_sol12.5.osim,3,modeOff,,,,,,asym_sol12.5_Off,,,et,1,0.03,modeAsym,,1
2D_gait_AFO_pc_off_asym_sol12.5.osim,3,modeWoC,,,,,,asym_sol12.5_WoC,0.01,0,et,1,0.03,modeAsym,,1
